dia;;compra;venda;;;;;;;;;;;
43832;;4,0207;4,0213;;;interv 0,05;;interv 0,025;;;;;;
43833;1;4,0516;4,0522;1;-0.0309;-0,05;1;-0,05;0;-0,3;-0,3;-0,25;3;-0,25
43836;3;4,0548;4,0554;2;-0.0032;-0,05;1;-0,025;0;-0,275;-0,25;-0,2;5;-0,2
43837;1;4,0835;4,0841;3;-0.0287;-0,05;1;-0,05;0;-0,25;-0,2;-0,15;10;-0,15
43838;1;4,0666;4,0672;4;0.0169;0;1;0;3;-0,225;-0,15;-0,1;28;-0,1
43839;1;4,0738;4,0744;5;-0.0072;-0,05;1;-0,025;0;-0,2;-0,1;-0,05;93;-0,05
43840;1;4,0739;4,0745;6;-0.0001;-0,05;1;-0,025;5;-0,175;-0,05;0;64;0
43843;3;4,1303;4,1309;7;-0.0564;-0,1;1;-0,075;4;-0,15;0;0,05;27;0,05
43844;1;4,1437;4,1443;8;-0.0134;-0,05;1;-0,025;6;-0,125;0,05;0,1;17;0,1
43845;1;4,1616;4,1622;9;-0.0179;-0,05;1;-0,025;13;-0,1;0,1;0,15;0;0,15
43846;1;4,172;4,1726;10;-0.0104;-0,05;1;-0,025;15;-0,075;0,15;0,2;2;0,2
43847;1;4,1831;4,1837;11;-0.0111;-0,05;1;-0,025;40;-0,05;0,2;0,25;0;0,25
43850;3;4,1823;4,1829;12;0.0008;0;1;0;53;-0,025;0,25;0,3;0;0,3
43851;1;4,2008;4,2014;13;-0.0185;-0,05;1;-0,025;48;0;;;;
43852;1;4,1883;4,1889;14;0.0125;0;1;0;16;0,025;;;;
43853;1;4,1656;4,1662;15;0.0227;0;1;0;20;0,05;;;;
43854;1;4,1763;4,1769;16;-0.0107;-0,05;1;-0,025;7;0,075;;;;
43857;3;4,219;4,2196;17;-0.0427;-0,05;1;-0,05;10;0,1;;;;
43858;1;4,2058;4,2064;18;0.0132;0;1;0;7;0,125;;;;
43859;1;4,2007;4,2013;19;0.0051;0;1;0;0;0,15;;;;
43860;1;4,2517;4,2523;20;-0.051;-0,1;1;-0,075;0;0,175;;;;
43861;1;4,2689;4,2695;21;-0.0172;-0,05;1;-0,025;1;0,2;;;;
43864;3;4,2469;4,2475;22;0.022;0;1;0;1;0,225;;;;
43865;1;4,2375;4,2381;23;0.0094;0;1;0;0;0,25;;;;
43866;1;4,2443;4,2449;24;-0.0068;-0,05;1;-0,025;0;0,275;;;;
43867;1;4,2471;4,2477;25;-0.0028;-0,05;1;-0,025;0;0,3;;;;
43868;1;4,307;4,3076;26;-0.0599;-0,1;1;-0,075;;;;;;
43871;3;4,3189;4,3195;27;-0.0119;-0,05;1;-0,025;;;;;;
43872;1;4,3142;4,3148;28;0.0047;0;1;0;;;;;;
43873;1;4,336;4,3366;29;-0.0218;-0,05;1;-0,025;;;;;;
43874;1;4,3383;4,3389;30;-0.0023;-0,05;1;-0,025;;;;;;
43875;1;4,3157;4,3163;31;0.0226;0;1;0;;;;;;
43878;3;4,3151;4,3157;32;0.0006;0;1;0;;;;;;
43879;1;4,3465;4,3471;33;-0.0314;-0,05;1;-0,05;;;;;;
43880;1;4,3722;4,3728;34;-0.0257;-0,05;1;-0,05;;;;;;
43881;1;4,3867;4,3873;35;-0.0145;-0,05;1;-0,025;;;;;;
43882;1;4,3918;4,3924;36;-0.0051;-0,05;1;-0,025;;;;;;
43887;5;4,4353;4,4359;37;-0.0435;-0,05;1;-0,05;;;;;;
43888;1;4,4758;4,4764;38;-0.0405;-0,05;1;-0,05;;;;;;
43889;1;4,4981;4,4987;39;-0.0223;-0,05;1;-0,025;;;;;;
43892;3;4,494;4,4946;40;0.0041;0;1;0;;;;;;
43893;1;4,4877;4,4883;41;0.0063;0;1;0;;;;;;
43894;1;4,5252;4,5258;42;-0.0375;-0,05;1;-0,05;;;;;;
43895;1;4,6201;4,6207;43;-0.0949;-0,1;1;-0,1;;;;;;
43896;1;4,6453;4,6459;44;-0.0252;-0,05;1;-0,05;;;;;;
43899;3;4,7373;4,7379;45;-0.092;-0,1;1;-0,1;;;;;;
43900;1;4,6687;4,6693;46;0.0686;0,05;1;0,05;;;;;;
43901;1;4,6732;4,6738;47;-0.0045;-0,05;1;-0,025;;;;;;
43902;1;4,8825;4,8833;48;-0.2093;-0,25;1;-0,225;;;;;;
43903;1;4,7355;4,7362;49;0.147;0,1;1;0,125;;;;;;
43906;3;4,9464;4,9471;50;-0.2109;-0,25;1;-0,225;;;;;;
43907;1;5,0489;5,0496;51;-0.1025;-0,15;1;-0,125;;;;;;
43908;1;5,1101;5,1107;52;-0.0612;-0,1;1;-0,075;;;;;;
43909;1;5,1437;5,1444;53;-0.0336;-0,05;1;-0,05;;;;;;
43910;1;5,0241;5,0248;54;0.1196;0,1;1;0,1;;;;;;
43913;3;5,0798;5,0805;55;-0.0557;-0,1;1;-0,075;;;;;;
43914;1;5,0707;5,0713;56;0.0091;0;1;0;;;;;;
43915;1;5,07;5,0706;57;0.0007;0;1;0;;;;;;
43916;1;5,0004;5,001;58;0.0696;0,05;1;0,05;;;;;;
43917;1;5,1103;5,1109;59;-0.1099;-0,15;1;-0,125;;;;;;
43920;3;5,1588;5,1594;60;-0.0485;-0,05;1;-0,05;;;;;;
43921;1;5,1981;5,1987;61;-0.0393;-0,05;1;-0,05;;;;;;
43922;1;5,2399;5,2404;62;-0.0418;-0,05;1;-0,05;;;;;;
43923;1;5,2645;5,2651;63;-0.0246;-0,05;1;-0,025;;;;;;
43924;1;5,2991;5,2997;64;-0.0346;-0,05;1;-0,05;;;;;;
43927;3;5,2465;5,2471;65;0.0526;0,05;1;0,05;;;;;;
43928;1;5,2211;5,2217;66;0.0254;0;1;0,025;;;;;;
43929;1;5,2117;5,2123;67;0.0094;0;1;0;;;;;;
43930;1;5,0773;5,0779;68;0.1344;0,1;1;0,125;;;;;;
43934;4;5,1818;5,1824;69;-0.1045;-0,15;1;-0,125;;;;;;
43935;1;5,1852;5,1858;70;-0.0034;-0,05;1;-0,025;;;;;;
43936;1;5,2573;5,2579;71;-0.0721;-0,1;1;-0,075;;;;;;
43937;1;5,2371;5,2377;72;0.0202;0;1;0;;;;;;
43938;1;5,2567;5,2573;73;-0.0196;-0,05;1;-0,025;;;;;;
43941;3;5,2831;5,2837;74;-0.0264;-0,05;1;-0,05;;;;;;
43943;2;5,3841;5,3847;75;-0.101;-0,15;1;-0,125;;;;;;
43944;1;5,4461;5,4467;76;-0.062;-0,1;1;-0,075;;;;;;
43945;1;5,6504;5,651;77;-0.2043;-0,25;1;-0,225;;;;;;
43948;3;5,6352;5,6358;78;0.0152;0;1;0;;;;;;
43949;1;5,5677;5,5683;79;0.0675;0,05;1;0,05;;;;;;
43950;1;5,4285;5,4291;80;0.1392;0,1;1;0,125;;;;;;
43951;1;5,4264;5,427;81;0.0021;0;1;0;;;;;;
43955;4;5,5811;5,5816;82;-0.1547;-0,2;1;-0,175;;;;;;
43956;1;5,5348;5,5354;83;0.0463;0;1;0,025;;;;;;
43957;1;5,667;5,6676;84;-0.1322;-0,15;1;-0,15;;;;;;
43958;1;5,8359;5,8365;85;-0.1689;-0,2;1;-0,175;;;;;;
43959;1;5,7647;5,7653;86;0.0712;0,05;1;0,05;;;;;;
43962;3;5,7948;5,7954;87;-0.0301;-0,05;1;-0,05;;;;;;
43963;1;5,7717;5,7723;88;0.0231;0;1;0;;;;;;
43964;1;5,9016;5,9022;89;-0.1299;-0,15;1;-0,15;;;;;;
43965;1;5,9366;5,9372;90;-0.035;-0,05;1;-0,05;;;;;;
43966;1;5,8223;5,8229;91;0.1143;0,1;1;0,1;;;;;;
43969;3;5,7369;5,7375;92;0.0854;0,05;1;0,075;;;;;;
43970;1;5,721;5,7216;93;0.0159;0;1;0;;;;;;
43971;1;5,6962;5,6968;94;0.0248;0;1;0;;;;;;
43972;1;5,6013;5,6019;95;0.0949;0,05;1;0,075;;;;;;
43973;1;5,5802;5,5808;96;0.0211;0;1;0;;;;;;
43976;3;5,4766;5,4772;97;0.1036;0,1;1;0,1;;;;;;
43977;1;5,3701;5,3707;98;0.1065;0,1;1;0,1;;;;;;
43978;1;5,2986;5,2992;99;0.0715;0,05;1;0,05;;;;;;
43979;1;5,3399;5,3405;100;-0.0413;-0,05;1;-0,05;;;;;;
43980;1;5,4257;5,4263;101;-0.0858;-0,1;1;-0,1;;;;;;
43983;3;5,3633;5,3639;102;0.0624;0,05;1;0,05;;;;;;
43984;1;5,2595;5,2601;103;0.1038;0,1;1;0,1;;;;;;
43985;1;5,051;5,0516;104;0.2085;0,2;1;0,2;;;;;;
43986;1;5,1035;5,1041;105;-0.0525;-0,1;1;-0,075;;;;;;
43987;1;4,9769;4,9775;106;0.1266;0,1;1;0,125;;;;;;
43990;3;4,9325;4,9331;107;0.0444;0;1;0,025;;;;;;
43991;1;4,9051;4,9057;108;0.0274;0;1;0,025;;;;;;
43992;1;4,8888;4,8894;109;0.0163;0;1;0;;;;;;
43994;2;5,0367;5,0373;110;-0.1479;-0,15;1;-0,15;;;;;;
43997;3;5,1877;5,1883;111;-0.151;-0,2;1;-0,175;;;;;;
43998;1;5,1279;5,1285;112;0.0598;0,05;1;0,05;;;;;;
43999;1;5,2492;5,2499;113;-0.1213;-0,15;1;-0,125;;;;;;
44000;1;5,3462;5,3468;114;-0.097;-0,1;1;-0,1;;;;;;
44001;1;5,346;5,3466;115;0.0002;0;1;0;;;;;;
44004;3;5,222;5,2226;116;0.124;0,1;1;0,1;;;;;;
44005;1;5,1699;5,1705;117;0.0521;0,05;1;0,05;;;;;;
44006;1;5,2429;5,2435;118;-0.073;-0,1;1;-0,075;;;;;;
44007;1;5,3281;5,3287;119;-0.0852;-0,1;1;-0,1;;;;;;
44008;1;5,4623;5,4629;120;-0.1342;-0,15;1;-0,15;;;;;;
44011;3;5,441;5,4416;121;0.0213;0;1;0;;;;;;
44012;1;5,4754;5,476;122;-0.0344;-0,05;1;-0,05;;;;;;
44013;1;5,3646;5,3651;123;0.1108;0,1;1;0,1;;;;;;
44014;1;5,3022;5,3028;124;0.0624;0,05;1;0,05;;;;;;
44015;1;5,3368;5,3374;125;-0.0346;-0,05;1;-0,05;;;;;;
44018;3;5,3079;5,3085;126;0.0289;0;1;0,025;;;;;;
44019;1;5,3312;5,3318;127;-0.0233;-0,05;1;-0,025;;;;;;
44020;1;5,3476;5,3482;128;-0.0164;-0,05;1;-0,025;;;;;;
44021;1;5,2972;5,2978;129;0.0504;0,05;1;0,05;;;;;;
44022;1;5,3434;5,344;130;-0.0462;-0,05;1;-0,05;;;;;;
44025;3;5,348;5,3486;131;-0.0046;-0,05;1;-0,025;;;;;;
44026;1;5,4282;5,4288;132;-0.0802;-0,1;1;-0,1;;;;;;
44027;1;5,3485;5,3491;133;0.0797;0,05;1;0,075;;;;;;
44028;1;5,3554;5,356;134;-0.0069;-0,05;1;-0,025;;;;;;
44029;1;5,3504;5,351;135;0.005;0;1;0;;;;;;
44032;3;5,3629;5,3635;136;-0.0125;-0,05;1;-0,025;;;;;;
44033;1;5,2277;5,2283;137;0.1352;0,1;1;0,125;;;;;;
44034;1;5,1105;5,1111;138;0.1172;0,1;1;0,1;;;;;;
44035;1;5,1641;5,1647;139;-0.0536;-0,1;1;-0,075;;;;;;
44036;1;5,214;5,2146;140;-0.0499;-0,05;1;-0,05;;;;;;
44039;3;5,1883;5,1889;141;0.0257;0;1;0,025;;;;;;
44040;1;5,1771;5,1777;142;0.0112;0;1;0;;;;;;
44041;1;5,1389;5,1395;143;0.0382;0;1;0,025;;;;;;
44042;1;5,1831;5,1837;144;-0.0442;-0,05;1;-0,05;;;;;;
44043;1;5,2027;5,2033;145;-0.0196;-0,05;1;-0,025;;;;;;
44046;3;5,3069;5,3075;146;-0.1042;-0,15;1;-0,125;;;;;;
44047;1;5,3323;5,3329;147;-0.0254;-0,05;1;-0,05;;;;;;
44048;1;5,2754;5,276;148;0.0569;0,05;1;0,05;;;;;;
44049;1;5,3425;5,3431;149;-0.0671;-0,1;1;-0,075;;;;;;
44050;1;5,4221;5,4227;150;-0.0796;-0,1;1;-0,1;;;;;;
44053;3;5,3927;5,3933;151;0.0294;0;1;0,025;;;;;;
44054;1;5,4279;5,4285;152;-0.0352;-0,05;1;-0,05;;;;;;
44055;1;5,4545;5,4551;153;-0.0266;-0,05;1;-0,05;;;;;;
44056;1;5,3795;5,3801;154;0.075;0,05;1;0,075;;;;;;
44057;1;5,3846;5,3852;155;-0.0051;-0,05;1;-0,025;;;;;;
44060;3;5,4491;5,4497;156;-0.0645;-0,1;1;-0,075;;;;;;
44061;1;5,4653;5,4659;157;-0.0162;-0,05;1;-0,025;;;;;;
44062;1;5,49;5,4906;158;-0.0247;-0,05;1;-0,025;;;;;;
44063;1;5,6504;5,651;159;-0.1604;-0,2;1;-0,175;;;;;;
44064;1;5,6058;5,6064;160;0.0446;0;1;0,025;;;;;;
44067;3;5,5948;5,5954;161;0.011;0;1;0;;;;;;
44068;1;5,5991;5,5997;162;-0.0043;-0,05;1;-0,025;;;;;;
44069;1;5,5674;5,568;163;0.0317;0;1;0,025;;;;;;
44070;1;5,595;5,5956;164;-0.0276;-0,05;1;-0,05;;;;;;
44071;1;5,4673;5,4679;165;0.1277;0,1;1;0,125;;;;;;
44074;3;5,4707;5,4713;166;-0.0034;-0,05;1;-0,025;;;;;;
44075;1;5,3726;5,3732;167;0.0981;0,05;1;0,075;;;;;;
44076;1;5,3735;5,3741;168;-0.0009;-0,05;1;-0,025;;;;;;
44077;1;5,3073;5,3079;169;0.0662;0,05;1;0,05;;;;;;
44078;1;5,2842;5,2848;170;0.0231;0;1;0;;;;;;
44082;4;5,3692;5,3698;171;-0.085;-0,1;1;-0,1;;;;;;
44083;1;5,3018;5,3024;172;0.0674;0,05;1;0,05;;;;;;
44084;1;5,293;5,2936;173;0.0088;0;1;0;;;;;;
44085;1;5,2848;5,2854;174;0.0082;0;1;0;;;;;;
44088;3;5,2978;5,2984;175;-0.013;-0,05;1;-0,025;;;;;;
44089;1;5,2722;5,2728;176;0.0256;0;1;0,025;;;;;;
44090;1;5,2526;5,2532;177;0.0196;0;1;0;;;;;;
44091;1;5,2587;5,2593;178;-0.0061;-0,05;1;-0,025;;;;;;
44092;1;5,2883;5,2889;179;-0.0296;-0,05;1;-0,05;;;;;;
44095;3;5,4434;5,444;180;-0.1551;-0,2;1;-0,175;;;;;;
44096;1;5,4323;5,4329;181;0.0111;0;1;0;;;;;;
44097;1;5,5305;5,5311;182;-0.0982;-0,1;1;-0,1;;;;;;
44098;1;5,5708;5,5714;183;-0.0403;-0,05;1;-0,05;;;;;;
44099;1;5,5661;5,5667;184;0.0047;0;1;0;;;;;;
44102;3;5,5852;5,5858;185;-0.0191;-0,05;1;-0,025;;;;;;
44103;1;5,6521;5,6528;186;-0.0669;-0,1;1;-0,075;;;;;;
44104;1;5,6401;5,6407;187;0.012;0;1;0;;;;;;
44105;1;5,6435;5,6441;188;-0.0034;-0,05;1;-0,025;;;;;;
44106;1;5,6458;5,6464;189;-0.0023;-0,05;1;-0,025;;;;;;
44109;3;5,6293;5,6299;190;0.0165;0;1;0;;;;;;
44110;1;5,5199;5,5205;191;0.1094;0,1;1;0,1;;;;;;
44111;1;5,6012;5,6018;192;-0.0813;-0,1;1;-0,1;;;;;;
44112;1;5,6194;5,62;193;-0.0182;-0,05;1;-0,025;;;;;;
44113;1;5,5387;5,5393;194;0.0807;0,05;1;0,075;;;;;;
44117;4;5,5854;5,5859;195;-0.0467;-0,05;1;-0,05;;;;;;
44118;1;5,5669;5,5675;196;0.0185;0;1;0;;;;;;
44119;1;5,6166;5,6172;197;-0.0497;-0,05;1;-0,05;;;;;;
44120;1;5,622;5,6226;198;-0.0054;-0,05;1;-0,025;;;;;;
44123;3;5,6017;5,6023;199;0.0203;0;1;0;;;;;;
44124;1;5,5824;5,583;200;0.0193;0;1;0;;;;;;
44125;1;5,6;5,6006;201;-0.0176;-0,05;1;-0,025;;;;;;
44126;1;5,5814;5,582;202;0.0186;0;1;0;;;;;;
44127;1;5,6114;5,612;203;-0.03;-0,05;1;-0,05;;;;;;
44130;3;5,6322;5,6328;204;-0.0208;-0,05;1;-0,025;;;;;;
44131;1;5,6484;5,6491;205;-0.0162;-0,05;1;-0,025;;;;;;
44132;1;5,7319;5,7325;206;-0.0835;-0,1;1;-0,1;;;;;;
44133;1;5,7797;5,7803;207;-0.0478;-0,05;1;-0,05;;;;;;
44134;1;5,7712;5,7718;208;0.0085;0;1;0;;;;;;
